ID;airport_name;type;country;lat;long;elevation;service
BW-0074;Botswana International University of Science and Technology Drone Port and Heliport;heliport;BW;-22.59488;27.12772;3241.0;no
FABL;Bram Fischer International Airport;large_airport;ZA;-29.092699;26.302401;4457.0;yes
FACT;Cape Town International Airport;large_airport;ZA;-33.97403;18.604333;151.0;yes
FAKN;Kruger Mpumalanga International Airport;large_airport;ZA;-25.383327;31.105325;2829.0;yes
FALA;Lanseria International Airport;large_airport;ZA;-25.938964;27.926642;4517.0;yes
FALE;King Shaka International Airport;large_airport;ZA;-29.6144444444;31.1197222222;295.0;yes
FAMM;Mmabatho International Airport;medium_airport;ZA;-25.798400878900004;25.5480003357;4181.0;yes
FAOR;O.R. Tambo International Airport;large_airport;ZA;-26.140081;28.246801;5558.0;yes
FAPE;Chief Dawid Stuurman International Airport;large_airport;ZA;-33.989715;25.617353;226.0;yes
FAPN;Pilanesberg International Airport;medium_airport;ZA;-25.333799;27.173401;3412.0;no
FAPP;Polokwane International Airport;large_airport;ZA;-23.845269;29.458615;4076.0;yes
FBFT;Phillip Gaonwe Matante International Airport;large_airport;BW;-21.159183;27.468826;3283.0;yes
FBKE;Kasane International Airport;large_airport;BW;-17.831653;25.166195;3289.0;yes
FBMN;Maun International Airport;large_airport;BW;-19.970491;23.431409;3093.0;yes
FBSK;Sir Seretse Khama International Airport;large_airport;BW;-24.555201;25.9182;3299.0;yes
FLLI;Harry Mwanga Nkumbula International Airport;large_airport;ZM;-17.821524;25.819642;3302.0;yes
FLLS;Kenneth Kaunda International Airport;large_airport;ZM;-15.330833;28.452722;3779.0;yes
FLMF;Mfuwe International Airport;large_airport;ZM;-13.2589;31.9366;1853.0;yes
FLSK;Simon Mwansa Kapwepwe International Airport;large_airport;ZM;-12.96513;28.515624;4308.0;yes
FQBR;Beira International Airport;large_airport;MZ;-19.7964;34.9076;33.0;yes
FQNC;Nacala International Airport;medium_airport;MZ;-14.4882;40.7122;410.0;yes
FVBU;Joshua Mqabuko Nkomo International Airport;large_airport;ZW;-20.016284;28.622897;4359.0;yes
FVFA;Victoria Falls International Airport;large_airport;ZW;-18.097437;25.836867;3490.0;yes
FVHA;Robert Gabriel Mugabe International Airport;large_airport;ZW;-17.931801;31.0928;4887.0;yes
FVMV;Masvingo International Airport;medium_airport;ZW;-20.0553;30.8591;3595.0;no
FWCL;Chileka International Airport;large_airport;MW;-15.677189;34.972319;2555.0;yes
FWKI;Kamuzu International Airport;large_airport;MW;-13.7894;33.780998;4035.0;yes
FYWB;Walvis Bay International Airport;large_airport;NA;-22.979332;14.647102;299.0;yes
FYWH;Hosea Kutako International Airport;large_airport;NA;-22.4799;17.4709;5640.0;yes
ZA-0218;Tankwa International Airport;small_airport;ZA;-32.334119;19.753489;1036.0;no
ZA-0327;Durban International Airport;closed;ZA;-29.969798;30.950257;33.0;no
