ID;airport_name;type;country;lat;long;elevation;service
AME;Alto Molocue Airport;small_airport;MZ;-15.6102777778;37.6813888889;1950.0;no
BCW;Benguera Island Airport;medium_airport;MZ;-21.8533;35.438301;;no
BW-0001;Khuis Airport;small_airport;BW;-26.64913;21.82215;3071.0;no
BW-0002;Motopi Airport;small_airport;BW;-20.185886;24.175029;3070.0;no
BW-0004;Linyanti Airport;small_airport;BW;-18.46082;23.808989;3105.0;no
BW-0013;Ghaghoo Mine Airport;small_airport;BW;-22.6079;24.7897;3350.0;no
BW-0014;Chandia Airstrip;small_airport;BW;-18.5154;25.495408;3515.0;no
BW-0015;Kgoro Pan Airport;small_airport;BW;-21.2019;22.5038;3550.0;no
BW-0016;Khutse Airport;small_airport;BW;-23.35592;24.6036;3315.0;no
BW-0017;Khwai North Airport;small_airport;BW;-19.041;23.8339;3090.0;no
BW-0019;Etsha Airport;closed;BW;-19.113219;22.261864;3205.0;no
BW-0020;Alpha Airfield;closed;BW;-25.198058;25.721603;3798.0;no
BW-0021;Arizona Airport;small_airport;BW;-22.6036;28.2897;2440.0;no
BW-0022;Big Game Airport;small_airport;BW;-26.326;22.0946;3180.0;no
BW-0024;Kwalata Airport;small_airport;BW;-23.062493;27.904797;2595.0;no
BW-0025;Jwala Airport;small_airport;BW;-22.041793;29.024605;2080.0;no
BW-0026;Kgwedi Airport;small_airport;BW;-22.07392;29.106636;2005.0;no
BW-0027;Chief's Island Airport;small_airport;BW;-19.314182;22.94975;;no
BW-0028;Chief's Camp Airport;small_airport;BW;-19.31107;22.908799;;no
BW-0029;Mombo Camp Airport;small_airport;BW;-19.209503;22.794411;3165.0;no
BW-0030;Chitabe Airstrip;small_airport;BW;-19.467144;23.378341;3123.0;no
BW-0033;Kwara Camp Airport;small_airport;BW;-19.102891;23.289115;;no
BW-0036;Matsieng Aerodrome;small_airport;BW;-24.357132;26.090237;;no
BW-0040;Motswiri Airstrip;small_airport;BW;-18.771248;23.041275;3159.0;no
BW-0041;Mapula Airport;small_airport;BW;-18.787656;22.829697;;no
BW-0043;Masame Airport;small_airport;BW;-19.329429;24.841567;;no
BW-0044;Elephant Sands Airport;small_airport;BW;-19.746877;26.070069;;no
BW-0047;Kanana Farm Airport;small_airport;BW;-21.627363;21.390602;3905.0;no
BW-0049;Jackalas 1 Airport;closed;BW;-20.55728;27.695399;;no
BW-0050;Mapoka Airport;closed;BW;-20.532004;27.609445;;no
BW-0051;Central Kalahari Airport;small_airport;BW;-21.732301;24.482993;;no
BW-0053;Mmashoro Airport;small_airport;BW;-21.877487;26.350055;;no
BW-0056;Karowe Airstrip;small_airport;BW;-21.487819;25.466652;3260.0;no
BW-0057;Banoka Airstrip;small_airport;BW;-19.0925;23.6481;3096.0;no
BW-0058;Gorokwe Airport;small_airport;BW;-19.58672;23.47126;3120.0;no
BW-0061;Gaborone Notwane Airport;closed;BW;-24.683001;25.933001;3218.0;no
BW-0062;Molepolole Airport;closed;BW;-24.389444444;25.498611111;3790.0;no
BW-0063;Makalamabedi Airport;small_airport;BW;-20.310743;23.907773;3100.0;no
BW-0067;Lebala Airstrip;small_airport;BW;-18.43366;23.52996;3114.0;no
BW-0068;Kadizora Airstrip;small_airport;BW;-18.90247;22.59433;3209.0;no
BW-0069;Mopiri Airstrip;small_airport;BW;-19.09778;22.36718;3203.0;no
BW-0070;Matsaudi Airstrip;small_airport;BW;-19.86015;23.5993;3104.0;no
BW-0071;Kiri-Waka Airstrip;small_airport;BW;-19.776683;23.221215;3110.0;no
BW-0072;Leopard Plains Airstrip;small_airport;BW;-20.18091;24.16769;3068.0;no
BW-0074;Botswana International University of Science and Technology Drone Port and Heliport;heliport;BW;-22.59488;27.12772;3241.0;no
BW-HUK;Hukuntsi Airport;small_airport;BW;-23.9897;21.758101;3720.0;no
BZB;Bazaruto Island Airport;medium_airport;MZ;-21.5411;35.4729;;no
CMZ;Caia Airport;small_airport;MZ;-17.8331;35.3341;156.0;no
FAAB;Alexander Bay Airport;medium_airport;ZA;-28.575001;16.5333;98.0;no
FAAE;Aberdeen Airport;small_airport;ZA;-32.466386;24.064016;2461.0;no
FAAF;Andrew's Field;small_airport;ZA;-34.763345;20.036357;30.0;no
FAAG;Aggeneys Airport;medium_airport;ZA;-29.281799;18.8139;2648.0;no
FAAL;Alldays Airport;small_airport;ZA;-22.679001;29.0555;2600.0;no
FAAM;Amsterdam Airport;small_airport;ZA;-26.633803;30.605561;4310.0;no
FAAN;Aliwal North Airport;small_airport;ZA;-30.681072;26.730141;4405.0;no
FAAS;Ashton Airport;small_airport;ZA;-33.837978;20.049838;525.0;no
